common_name,breeding_verified,breeding_indirect,transient,winter_verified,winter_present,aab_url,order_desc,order,family,genus,species,similar_species
White-breasted Nuthatch,true,false,false,true,false,http://www.allaboutbirds.org/guide/whitebreasted_nuthatch/id,Perching Birds,PASSERIFORMES,SITTIDAE,Sitta,carolinensis,"Black-capped Chickadee, Brown Creeper, Brown-headed Nuthatch, Pygmy Nuthatch, Red-breasted Nuthatch"
Pygmy Nuthatch,true,false,false,true,false,http://www.allaboutbirds.org/guide/pygmy_nuthatch/id,Perching Birds,PASSERIFORMES,SITTIDAE,Sitta,pygmaea,"Brown-headed Nuthatch, Bushtit, Red-breasted Nuthatch, White-breasted Nuthatch"
Brown Creeper,true,false,false,true,false,http://www.allaboutbirds.org/guide/brown_creeper/id,Perching Birds,PASSERIFORMES,CERTHIIDAE,Certhia,americana,"White-breasted Nuthatch, House Wren, Black-and-white Warbler"
Rock Wren,true,false,false,false,true,http://www.allaboutbirds.org/guide/rock_wren/id,Perching Birds,PASSERIFORMES,TROGLODYTIDAE,Salpinctes,obsoletus,""
Canyon Wren,true,false,false,true,false,http://www.allaboutbirds.org/guide/canyon_wren/id,Perching Birds,PASSERIFORMES,TROGLODYTIDAE,Catherpes,mexicanus,""
Carolina Wren,false,false,true,false,false,http://www.allaboutbirds.org/guide/carolina_wren/id,Perching Birds,PASSERIFORMES,TROGLODYTIDAE,Thryothorus,ludovicianus,"Bewick's Wren, House Wren"
Bewick’s Wren,false,false,true,true,false,http://www.allaboutbirds.org/guide/bewicks_wren/id,Perching Birds,PASSERIFORMES,TROGLODYTIDAE,Thryomanes,bewickii,"House Wren, Carolina Wren, Bushtit, Wrentit"
House Wren,true,false,false,false,true,http://www.allaboutbirds.org/guide/house_wren/id,Perching Birds,PASSERIFORMES,TROGLODYTIDAE,Troglodytes,aedon,"Bewick's Wren, Winter Wren, Brown Creeper, Carolina Wren, Common Yellowthroat"
Pacific Wren,true,false,false,true,false,http://www.allaboutbirds.org/guide/pacific_wren/id,Perching Birds,PASSERIFORMES,TROGLODYTIDAE,Troglodytes,pacificus,""
Winter Wren,false,false,true,false,false,http://www.allaboutbirds.org/guide/winter_wren/id,Perching Birds,PASSERIFORMES,TROGLODYTIDAE,Troglodytes,hiemalis,House Wren
Sedge Wren,true,false,false,false,false,http://www.allaboutbirds.org/guide/sedge_wren/id,Perching Birds,PASSERIFORMES,TROGLODYTIDAE,Cistothorus,platensis,""
Marsh Wren,true,false,false,true,false,http://www.allaboutbirds.org/guide/marsh_wren/id,Perching Birds,PASSERIFORMES,TROGLODYTIDAE,Cistothorus,palustris,""
Blue-gray Gnatcatcher,true,false,false,false,false,http://www.allaboutbirds.org/guide/bluegray_gnatcatcher/id,Perching Birds,PASSERIFORMES,POLIOPTILIDAE,Polioptila,caerulea,Golden-crowned Kinglet
